"Il10","Slpi","Bcl6","Mta3","Pax5","Mitf","Bach2","Myc","Spib","condition"
0,0,2,0,0,0,3,0,1,"DMSO"
0,0,0,0,5,0,1,0,3,"DMSO"
0,0,1,0,2,0,3,0,1,"DMSO"
0,0,0,0,1,0,3,1,0,"DMSO"
0,0,0,0,0,0,4,0,0,"DMSO"
0,0,0,0,1,0,1,0,0,"DMSO"
0,0,0,0,0,0,3,0,0,"DMSO"
0,0,1,0,1,0,3,0,1,"DMSO"
0,0,1,0,5,0,1,0,0,"DMSO"
0,0,0,0,1,0,0,0,0,"DMSO"
0,0,0,0,5,0,1,2,7,"DMSO"
0,0,0,0,4,0,2,0,1,"DMSO"
0,0,0,0,1,0,3,0,6,"DMSO"
0,0,0,0,2,0,3,0,1,"DMSO"
0,0,0,0,1,0,1,0,0,"DMSO"
0,0,1,0,5,0,3,0,1,"DMSO"
0,0,0,0,1,0,1,0,2,"DMSO"
3,0,0,0,2,0,2,0,0,"DMSO"
0,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,1,8,0,7,2,3,"DMSO"
0,0,0,0,0,0,2,0,15,"DMSO"
0,0,1,0,9,0,2,0,8,"DMSO"
0,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,2,0,9,0,2,"DMSO"
0,0,0,0,2,0,1,0,1,"DMSO"
0,0,0,0,2,0,2,0,0,"DMSO"
0,0,0,0,2,0,2,0,0,"DMSO"
0,0,0,0,2,0,4,0,0,"DMSO"
0,0,0,0,9,0,13,0,3,"DMSO"
0,0,0,0,1,0,2,0,2,"DMSO"
0,1,0,0,4,0,2,0,1,"DMSO"
0,0,0,0,7,0,2,4,4,"DMSO"
0,0,0,0,1,0,2,0,3,"DMSO"
0,0,0,0,13,0,12,0,9,"DMSO"
0,1,0,1,1,0,1,0,0,"DMSO"
0,0,0,0,2,0,2,0,0,"DMSO"
0,0,0,0,0,0,2,0,2,"DMSO"
4,0,0,0,8,0,3,0,0,"DMSO"
0,1,0,0,0,0,0,0,0,"DMSO"
2,0,1,0,9,0,6,0,4,"DMSO"
0,0,0,0,3,0,4,0,0,"DMSO"
0,0,0,0,8,0,4,0,2,"DMSO"
0,0,0,0,0,0,7,0,3,"DMSO"
0,0,0,0,3,0,2,0,3,"DMSO"
0,0,0,0,0,0,3,0,4,"DMSO"
0,0,0,0,0,0,2,0,4,"DMSO"
0,0,0,0,2,0,6,0,1,"DMSO"
0,0,0,2,6,0,1,0,2,"DMSO"
0,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,4,0,1,0,0,"DMSO"
0,0,0,0,6,0,0,0,2,"DMSO"
0,0,0,0,0,0,0,0,2,"DMSO"
0,0,0,0,11,0,6,0,6,"DMSO"
0,0,0,0,1,0,0,0,0,"DMSO"
0,0,0,0,4,0,4,1,6,"DMSO"
0,0,1,0,0,0,4,0,0,"DMSO"
5,0,0,0,4,0,6,0,1,"DMSO"
0,0,0,0,2,0,2,0,0,"DMSO"
1,0,0,0,1,0,2,2,1,"DMSO"
0,6,4,0,4,0,1,0,7,"DMSO"
0,0,0,0,3,0,0,0,2,"DMSO"
0,0,0,0,3,0,1,0,1,"DMSO"
0,0,2,0,6,0,2,0,2,"DMSO"
0,0,0,0,5,0,2,0,1,"DMSO"
0,0,0,0,2,0,0,0,3,"DMSO"
0,0,0,0,0,0,1,0,0,"DMSO"
0,0,1,0,6,0,0,0,1,"DMSO"
0,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,10,0,3,0,2,"DMSO"
0,0,0,0,7,0,1,0,5,"DMSO"
0,0,0,0,6,0,2,0,1,"DMSO"
0,0,0,0,4,0,11,1,6,"DMSO"
0,0,0,0,4,0,4,0,1,"DMSO"
0,0,0,0,5,0,5,0,1,"DMSO"
1,0,0,0,1,0,0,0,0,"DMSO"
0,0,0,0,5,0,2,0,6,"DMSO"
0,0,0,0,2,0,4,0,3,"DMSO"
0,0,0,0,7,0,3,0,0,"DMSO"
0,0,0,0,0,0,2,0,3,"DMSO"
0,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,2,0,2,0,3,"DMSO"
0,0,0,0,5,0,2,0,6,"DMSO"
0,0,0,0,0,0,4,1,1,"DMSO"
0,0,0,0,3,0,3,0,2,"DMSO"
0,0,0,0,0,0,5,1,2,"DMSO"
0,0,0,0,0,0,1,1,0,"DMSO"
0,0,0,0,8,0,3,0,1,"DMSO"
0,0,0,0,1,0,11,1,3,"DMSO"
0,0,0,0,3,0,0,0,4,"DMSO"
0,0,0,0,10,0,2,1,8,"DMSO"
4,0,0,0,1,0,2,0,6,"DMSO"
0,0,0,0,1,0,0,0,0,"DMSO"
0,0,0,0,10,0,6,0,5,"DMSO"
0,0,0,0,1,0,1,0,0,"DMSO"
0,0,0,0,2,0,1,0,0,"DMSO"
0,0,0,0,2,0,1,0,2,"DMSO"
0,0,0,0,1,0,2,0,3,"DMSO"
0,0,0,0,3,0,0,0,8,"DMSO"
0,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,3,0,3,0,5,"DMSO"
0,0,0,0,0,0,5,0,1,"DMSO"
0,0,0,0,5,0,1,0,4,"DMSO"
0,0,0,0,1,0,6,0,2,"DMSO"
0,0,0,0,3,0,1,0,5,"DMSO"
0,0,0,0,6,0,4,2,4,"DMSO"
0,0,0,0,0,0,3,0,3,"DMSO"
0,0,0,0,1,0,3,0,0,"DMSO"
0,0,0,0,0,0,2,1,3,"DMSO"
0,0,0,0,1,0,3,0,0,"DMSO"
0,0,0,0,2,0,0,0,1,"DMSO"
0,0,0,0,8,0,6,0,5,"DMSO"
0,0,0,0,6,0,0,0,3,"DMSO"
0,0,2,0,1,0,3,0,5,"DMSO"
0,0,1,0,0,0,3,0,0,"DMSO"
0,0,2,0,4,0,1,0,2,"DMSO"
0,0,0,0,2,0,0,0,1,"DMSO"
0,0,0,0,3,0,0,1,2,"DMSO"
0,0,0,0,4,0,0,0,0,"DMSO"
0,0,0,0,1,0,2,0,4,"DMSO"
0,0,0,0,1,0,2,0,1,"DMSO"
0,0,0,0,2,0,5,0,0,"DMSO"
0,0,0,0,4,0,0,0,0,"DMSO"
0,0,0,0,0,0,0,0,1,"DMSO"
0,0,0,1,1,0,0,0,2,"DMSO"
0,0,0,0,2,0,3,0,5,"DMSO"
0,0,0,0,6,0,1,0,7,"DMSO"
0,0,0,0,3,0,1,0,0,"DMSO"
0,0,0,0,5,0,8,0,0,"DMSO"
0,0,0,0,1,0,0,0,1,"DMSO"
0,0,0,0,0,0,3,0,0,"DMSO"
0,0,0,0,4,0,0,0,0,"DMSO"
0,0,0,0,4,0,3,0,0,"DMSO"
0,0,0,1,6,0,1,1,2,"DMSO"
0,0,0,0,3,0,3,0,5,"DMSO"
0,0,0,0,0,0,2,0,0,"DMSO"
0,0,0,0,1,0,1,0,1,"DMSO"
0,0,1,0,0,0,1,0,0,"DMSO"
0,0,0,0,2,0,4,0,0,"DMSO"
0,0,0,0,2,0,1,0,1,"DMSO"
0,0,0,1,1,0,3,0,1,"DMSO"
0,0,0,1,4,0,2,0,0,"DMSO"
0,0,0,0,1,0,0,2,0,"DMSO"
0,0,0,0,3,0,6,0,4,"DMSO"
0,0,0,0,1,0,0,0,0,"DMSO"
0,0,0,0,1,0,3,0,2,"DMSO"
0,0,0,0,3,0,0,0,0,"DMSO"
0,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,1,0,2,0,3,"DMSO"
0,0,0,0,7,0,1,0,1,"DMSO"
17,0,0,1,0,0,0,0,0,"DMSO"
0,0,0,0,0,0,1,0,0,"DMSO"
0,0,0,0,8,0,2,0,1,"DMSO"
0,0,1,1,6,0,6,0,2,"DMSO"
0,0,2,0,4,0,4,0,0,"DMSO"
0,0,0,0,1,0,0,0,2,"DMSO"
0,0,0,0,1,0,1,0,0,"DMSO"
0,0,0,0,3,0,2,0,0,"DMSO"
0,0,0,0,3,0,1,0,1,"DMSO"
0,0,0,0,6,0,1,0,3,"DMSO"
0,0,0,0,3,0,0,0,1,"DMSO"
0,0,0,0,1,0,4,0,4,"DMSO"
0,0,0,0,1,0,5,0,2,"DMSO"
0,0,0,0,3,0,0,0,6,"DMSO"
0,0,0,0,1,0,3,0,1,"DMSO"
0,0,0,0,0,0,2,0,0,"DMSO"
0,0,0,0,0,0,1,0,0,"DMSO"
0,1,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,4,0,2,0,1,"DMSO"
0,1,0,0,0,0,0,0,1,"DMSO"
0,0,1,0,3,0,1,0,0,"DMSO"
0,0,0,0,1,0,4,0,0,"DMSO"
0,0,0,1,0,0,0,0,3,"DMSO"
0,0,0,0,0,0,0,0,2,"DMSO"
0,0,1,0,9,0,6,0,4,"DMSO"
0,0,1,0,5,0,3,1,2,"DMSO"
0,0,0,0,1,0,4,0,1,"DMSO"
0,0,0,0,2,0,0,0,0,"DMSO"
0,0,0,0,2,0,1,0,6,"DMSO"
0,2,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,5,0,4,0,8,"DMSO"
0,0,0,0,1,0,2,0,0,"DMSO"
0,0,0,2,4,0,5,0,2,"DMSO"
0,0,0,0,1,0,3,0,3,"DMSO"
0,0,0,0,3,0,9,0,2,"DMSO"
0,0,0,0,1,0,5,0,2,"DMSO"
0,0,1,0,4,0,1,0,0,"DMSO"
0,0,0,0,7,0,1,0,7,"DMSO"
0,0,0,1,3,0,2,1,3,"DMSO"
0,0,0,0,0,0,0,0,1,"DMSO"
0,0,0,0,0,0,1,0,0,"DMSO"
0,0,0,0,3,0,7,0,1,"DMSO"
0,0,0,0,2,0,4,1,6,"DMSO"
0,0,0,1,2,0,5,0,0,"DMSO"
0,0,0,1,3,0,4,0,3,"DMSO"
0,0,0,0,2,0,3,1,1,"DMSO"
0,0,0,0,2,0,3,1,2,"DMSO"
0,0,0,0,2,0,1,0,5,"DMSO"
0,0,0,0,3,0,6,0,4,"DMSO"
0,0,0,0,0,0,1,0,0,"DMSO"
0,0,0,0,3,0,0,0,2,"DMSO"
0,0,1,0,2,0,2,0,1,"DMSO"
0,0,1,1,5,0,4,0,4,"DMSO"
0,0,0,0,6,0,2,0,3,"DMSO"
0,0,0,0,3,0,3,0,6,"DMSO"
0,0,0,0,4,0,3,0,4,"DMSO"
0,0,0,0,4,0,1,0,8,"DMSO"
0,0,0,0,2,0,1,0,6,"DMSO"
0,0,0,0,0,0,0,0,5,"DMSO"
0,0,0,0,0,0,1,0,2,"DMSO"
0,0,0,0,0,0,0,0,1,"DMSO"
0,0,1,0,2,0,2,0,3,"DMSO"
0,0,0,0,4,0,0,0,1,"DMSO"
0,0,0,0,4,0,1,0,5,"DMSO"
0,0,0,0,1,0,1,2,1,"DMSO"
0,0,0,0,1,0,2,0,0,"DMSO"
0,0,2,0,5,0,3,0,1,"DMSO"
0,0,0,0,0,0,2,0,0,"DMSO"
0,0,0,0,2,0,0,0,0,"DMSO"
0,0,0,0,1,0,2,1,3,"DMSO"
0,0,0,0,0,0,1,0,1,"DMSO"
0,0,0,0,0,0,1,0,2,"DMSO"
0,0,0,0,0,0,2,0,1,"DMSO"
0,0,0,0,6,0,7,0,4,"DMSO"
0,0,0,0,5,0,2,0,5,"DMSO"
0,0,0,0,9,0,1,0,0,"DMSO"
1,0,0,1,8,0,7,0,3,"DMSO"
0,0,0,0,3,0,0,0,0,"DMSO"
0,0,0,0,4,0,5,0,2,"DMSO"
0,0,0,0,0,0,2,0,0,"DMSO"
0,0,0,0,4,0,5,0,1,"DMSO"
0,0,0,0,4,0,2,0,2,"DMSO"
0,0,0,0,0,0,2,0,0,"DMSO"
0,0,0,0,2,0,1,0,0,"DMSO"
0,0,0,0,1,0,0,0,4,"DMSO"
0,0,0,0,1,0,0,0,0,"DMSO"
0,0,0,0,1,0,0,0,2,"DMSO"
0,0,0,0,3,0,2,0,2,"DMSO"
0,0,0,0,1,0,0,0,0,"DMSO"
0,0,1,0,2,0,1,0,3,"DMSO"
0,0,1,0,5,0,14,0,0,"DMSO"
0,0,0,0,0,0,2,0,2,"DMSO"
0,0,0,0,1,0,3,0,1,"DMSO"
1,0,0,0,0,0,0,0,0,"DMSO"
0,0,0,0,1,0,3,0,3,"DMSO"
0,0,0,0,3,0,2,0,0,"DMSO"
0,0,0,0,6,0,6,0,0,"DMSO"
0,0,0,0,3,0,2,0,5,"DMSO"
0,0,0,0,1,0,1,0,2,"DMSO"
0,0,0,0,1,0,1,0,0,"DMSO"
0,1,0,0,3,1,1,0,0,"DMSO"
